GoldType,Buy,Sell,Timestamp
HSH,"43,950","44,050",20250111163604
REF,"43,950","44,050",20250111163604
JEWEL,"43,160.52","44,550",20250111163604
HSH,"43,950","44,050",20250111170001
REF,"43,950","44,050",20250111170001
JEWEL,"43,160.52","44,550",20250111170001
HSH,"43,950","44,050",20250111171732
REF,"43,950","44,050",20250111171732
JEWEL,"43,160.52","44,550",20250111171732
HSH,"43,950","44,050",20250111180551
REF,"43,950","44,050",20250111180551
JEWEL,"43,160.52","44,550",20250111180551
HSH,"43,950","44,050",20250111190000
REF,"43,950","44,050",20250111190000
JEWEL,"43,160.52","44,550",20250111190000
HSH,"43,950","44,050",20250111200507
REF,"43,950","44,050",20250111200507
JEWEL,"43,160.52","44,550",20250111200507
HSH,"43,950","44,050",20250111210001
REF,"43,950","44,050",20250111210001
JEWEL,"43,160.52","44,550",20250111210001
HSH,"43,950","44,050",20250111221053
REF,"43,950","44,050",20250111221053
JEWEL,"43,160.52","44,550",20250111221053
HSH,"43,950","44,050",20250111230556
REF,"43,950","44,050",20250111230556
JEWEL,"43,160.52","44,550",20250111230556
HSH,"43,950","44,050",20250112000400
REF,"43,950","44,050",20250112000400
JEWEL,"43,160.52","44,550",20250112000400
HSH,"43,950","44,050",20250112010000
REF,"43,950","44,050",20250112010000
JEWEL,"43,160.52","44,550",20250112010000
HSH,"43,950","44,050",20250112020730
REF,"43,950","44,050",20250112020730
JEWEL,"43,160.52","44,550",20250112020730
HSH,"43,950","44,050",20250112031017
REF,"43,950","44,050",20250112031017
JEWEL,"43,160.52","44,550",20250112031017
HSH,"43,950","44,050",20250112041008
REF,"43,950","44,050",20250112041008
JEWEL,"43,160.52","44,550",20250112041008
HSH,"43,950","44,050",20250112050655
REF,"43,950","44,050",20250112050655
JEWEL,"43,160.52","44,550",20250112050655
HSH,"43,950","44,050",20250112061016
REF,"43,950","44,050",20250112061016
JEWEL,"43,160.52","44,550",20250112061016
HSH,"43,950","44,050",20250112070000
REF,"43,950","44,050",20250112070000
JEWEL,"43,160.52","44,550",20250112070000
HSH,"43,950","44,050",20250112080908
REF,"43,950","44,050",20250112080908
JEWEL,"43,160.52","44,550",20250112080908
HSH,"43,950","44,050",20250112090540
REF,"43,950","44,050",20250112090540
JEWEL,"43,160.52","44,550",20250112090540
HSH,"43,950","44,050",20250112100000
REF,"43,950","44,050",20250112100000
JEWEL,"43,160.52","44,550",20250112100000
HSH,"43,950","44,050",20250112110242
REF,"43,950","44,050",20250112110242
JEWEL,"43,160.52","44,550",20250112110242
HSH,"43,950","44,050",20250112120935
REF,"43,950","44,050",20250112120935
JEWEL,"43,160.52","44,550",20250112120935
HSH,"43,950","44,050",20250112130943
REF,"43,950","44,050",20250112130943
JEWEL,"43,160.52","44,550",20250112130943
HSH,"43,950","44,050",20250112141201
REF,"43,950","44,050",20250112141201
JEWEL,"43,160.52","44,550",20250112141201
HSH,"43,950","44,050",20250112150000
REF,"43,950","44,050",20250112150000
JEWEL,"43,160.52","44,550",20250112150000
